longitude,latitude,object,timestamp
-68.5,-52.8333,object2,09/01/20 06:01:46 AM
-68.58333333,-52.75,object5,09/01/20 02:42:48 AM
-68.66666667,-52.6667,object5,09/01/20 10:18:15 AM
-68.66666667,-52.5833,object5,09/01/20 12:25:01 PM
-68.66666667,-52.5,object2,09/01/20 08:12:41 AM
-68.66666667,-52.4167,object1,09/01/20 07:00:39 AM
-68.66666667,-52.3333,object2,09/01/20 06:01:20 AM
-68.66666667,-52.25,object3,09/01/20 02:04:57 AM
-68.66666667,-52.1667,object1,09/01/20 05:17:24 AM
-68.75,-52.0833,object2,09/01/20 07:06:32 AM
-68.75,-52,object4,09/01/20 11:32:48 AM
-68.83333333,-51.9167,object5,09/01/20 10:41:21 AM
-68.91666667,-51.8333,object5,09/01/20 05:00:55 AM
-69,-51.75,object3,09/01/20 12:26:24 AM
-69.08333333,-51.6667,object5,09/01/20 12:14:52 PM
-69.08333333,-51.5833,object3,09/01/20 03:26:05 AM
-69.08333333,-51.5,object4,09/01/20 01:37:20 AM
-69.08333333,-51.4167,object5,09/01/20 12:26:29 AM
-69.08333333,-51.3333,object5,09/01/20 02:49:46 AM
-69.08333333,-51.25,object1,09/01/20 12:13:15 PM
-69.08333333,-51.1667,object5,09/01/20 10:59:34 AM
-69.08333333,-51.0833,object2,09/01/20 10:22:24 AM
-69.08333333,-51,object4,09/01/20 04:02:19 AM
-69.08333333,-50.9167,object5,09/01/20 04:57:01 AM
-69.08333333,-50.8333,object4,09/01/20 04:06:46 AM
-69.08333333,-50.75,object1,09/01/20 11:28:36 AM
-69.08333333,-50.6667,object5,09/01/20 01:15:21 AM
-69,-50.5833,object5,09/01/20 03:15:34 AM
-69,-50.5,object4,09/01/20 02:02:55 AM
-68.91666667,-50.4167,object4,09/01/20 02:02:22 AM
-68.83333333,-50.3333,object1,09/01/20 04:01:17 AM
-68.75,-50.25,object3,09/01/20 02:42:20 AM
-68.66666667,-50.1667,object4,09/01/20 07:30:08 AM
-68.58333333,-50.0833,object1,09/01/20 08:00:53 AM
-68.5,-50.0833,object4,09/01/20 04:14:25 AM
-68.41666667,-50.0833,object1,09/01/20 01:58:00 AM
-68.33333333,-50.0833,object1,09/01/20 06:29:55 AM
-68.25,-50.0833,object2,09/01/20 04:06:45 AM
-68.16666667,-50.0833,object1,09/01/20 03:49:31 AM
-68.08333333,-50,object5,09/01/20 08:27:45 AM
-68,-50,object1,09/01/20 08:05:55 AM
-67.91666667,-49.9167,object2,09/01/20 04:41:01 AM
-67.83333333,-49.8333,object3,09/01/20 07:03:03 AM
-67.75,-49.75,object3,09/01/20 07:18:11 AM
-67.66666667,-49.6667,object4,09/01/20 01:47:27 AM
-67.66666667,-49.5833,object5,09/01/20 08:20:41 AM
-67.66666667,-49.5,object1,09/01/20 08:26:20 AM
-67.58333333,-49.4167,object3,09/01/20 08:36:25 AM
-67.58333333,-49.3333,object2,09/01/20 09:13:24 AM
-67.58333333,-49.25,object2,09/01/20 09:48:14 AM
-67.58333333,-49.1667,object3,09/01/20 12:43:03 PM
-67.5,-49.0833,object1,09/01/20 07:53:51 AM
-67.41666667,-49,object5,09/01/20 02:29:58 AM
-67.33333333,-48.9167,object5,09/01/20 05:28:56 AM
-67.25,-48.8333,object1,09/01/20 02:18:23 AM
-67.16666667,-48.75,object5,09/01/20 06:41:38 AM
-67.08333333,-48.6667,object1,09/01/20 04:07:15 AM
-67,-48.5833,object1,09/01/20 02:03:27 AM
-66.91666667,-48.5,object4,09/01/20 01:00:37 AM
-66.83333333,-48.4167,object1,09/01/20 12:07:25 PM
-66.75,-48.4167,object1,09/01/20 02:39:51 AM
-66.66666667,-48.4167,object1,09/01/20 09:51:54 AM
-66.58333333,-48.4167,object4,09/01/20 04:26:49 AM
-66.5,-48.3333,object3,09/01/20 07:06:17 AM
-66.41666667,-48.25,object3,09/01/20 07:59:58 AM
-66.33333333,-48.1667,object3,09/01/20 12:16:03 AM
-66.25,-48.1667,object4,09/01/20 02:16:13 AM
-66.16666667,-48.0833,object1,09/01/20 08:12:57 AM
-66.08333333,-48.0833,object4,09/01/20 04:55:49 AM
-66,-48,object1,09/01/20 12:35:39 PM
-65.91666667,-47.9167,object3,09/01/20 04:18:51 AM
-65.83333333,-47.8333,object2,09/01/20 07:12:12 AM
-65.83333333,-47.75,object3,09/01/20 02:00:55 AM
-65.75,-47.6667,object2,09/01/20 09:04:44 AM
-65.75,-47.5833,object4,09/01/20 05:01:40 AM
-65.75,-47.5,object2,09/01/20 01:40:19 AM
-65.75,-47.4167,object5,09/01/20 04:01:19 AM
-65.75,-47.3333,object3,09/01/20 10:09:46 AM
-65.83333333,-47.25,object4,09/01/20 12:35:38 PM
-65.91666667,-47.1667,object4,09/01/20 09:32:37 AM
-66,-47.0833,object4,09/01/20 04:16:05 AM
-66.08333333,-47,object3,09/01/20 04:13:55 AM
-66.16666667,-47,object5,09/01/20 12:01:10 PM
-66.25,-47,object5,09/01/20 04:37:31 AM
-66.33333333,-47,object3,09/01/20 05:25:23 AM
-66.41666667,-47,object2,09/01/20 05:25:23 AM
-66.5,-47,object2,09/01/20 11:17:49 AM
-66.58333333,-47,object3,09/01/20 08:58:55 AM
-66.66666667,-47,object5,09/01/20 11:29:22 AM
-66.75,-46.9167,object2,09/01/20 04:17:53 AM
-66.83333333,-46.8333,object3,09/01/20 07:39:33 AM
-66.91666667,-46.75,object3,09/01/20 08:44:29 AM
-67,-46.75,object3,09/01/20 05:39:23 AM
-67.08333333,-46.6667,object1,09/01/20 08:08:46 AM
-67.16666667,-46.5833,object3,09/01/20 08:52:42 AM
-67.25,-46.5833,object4,09/01/20 07:19:39 AM
-67.33333333,-46.5,object5,09/01/20 04:06:10 AM
-67.41666667,-46.4167,object5,09/01/20 04:05:15 AM
-67.5,-46.3333,object2,09/01/20 04:13:11 AM
-67.58333333,-46.25,object4,09/01/20 05:41:12 AM
-67.58333333,-46.1667,object5,09/01/20 04:25:05 AM
-67.58333333,-46.0833,object5,09/01/20 06:29:14 AM
-67.58333333,-46,object1,09/01/20 03:32:43 AM
-67.5,-45.9167,object4,09/01/20 01:30:23 AM
-67.41666667,-45.8333,object3,09/01/20 10:10:10 AM
-67.33333333,-45.75,object3,09/01/20 12:28:59 AM
-67.33333333,-45.6667,object1,09/01/20 03:22:11 AM
-67.25,-45.5833,object3,09/01/20 07:08:46 AM
-67.16666667,-45.5,object4,09/01/20 10:31:19 AM
-67.08333333,-45.4167,object3,09/01/20 06:22:46 AM
-67,-45.3333,object4,09/01/20 07:43:19 AM
-66.91666667,-45.25,object2,09/01/20 01:16:35 PM
-66.83333333,-45.1667,object1,09/01/20 01:51:37 AM
-66.75,-45.1667,object3,09/01/20 03:07:42 AM
-66.66666667,-45.1667,object4,09/01/20 03:45:57 AM
-66.58333333,-45.1667,object2,09/01/20 06:07:44 AM
-66.5,-45.0833,object4,09/01/20 09:42:48 AM
-66.41666667,-45,object1,09/01/20 03:28:53 AM
-66.33333333,-45,object3,09/01/20 05:14:19 AM
-66.25,-45,object5,09/01/20 12:30:20 PM
-66.16666667,-45,object5,09/01/20 12:37:39 PM
-66.08333333,-45,object3,09/01/20 03:14:55 AM
-66,-45,object5,09/01/20 12:08:01 PM
-65.91666667,-45,object1,09/01/20 08:19:58 AM
-65.83333333,-45,object2,09/01/20 06:50:08 AM
-65.75,-44.9167,object3,09/01/20 11:11:11 AM
-65.66666667,-44.8333,object2,09/01/20 07:33:01 AM
-65.66666667,-44.75,object2,09/01/20 02:41:42 AM
-65.58333333,-44.6667,object3,09/01/20 01:25:09 PM
-65.5,-44.5833,object5,09/01/20 06:14:05 AM
-65.41666667,-44.5,object4,09/01/20 07:26:36 AM
-65.33333333,-44.4167,object1,09/01/20 05:24:37 AM
-65.25,-44.3333,object1,09/01/20 01:00:31 PM
-65.25,-44.25,object5,09/01/20 12:48:45 AM
-65.25,-44.1667,object2,09/01/20 09:03:00 AM
-65.25,-44.0833,object3,09/01/20 03:44:33 AM
-65.25,-44,object2,09/01/20 01:33:22 PM
-65.25,-43.9167,object4,09/01/20 08:32:20 AM
-65.25,-43.8333,object4,09/01/20 11:44:18 AM
-65.25,-43.75,object4,09/01/20 04:36:33 AM
-65.25,-43.6667,object3,09/01/20 05:32:16 AM
-65.16666667,-43.5833,object5,09/01/20 01:13:21 AM
-65.08333333,-43.5,object2,09/01/20 09:57:25 AM
-65,-43.4167,object3,09/01/20 06:03:20 AM
-65,-43.3333,object3,09/01/20 10:40:10 AM
-64.91666667,-43.25,object2,09/01/20 04:26:25 AM
-64.83333333,-43.1667,object3,09/01/20 06:08:11 AM
-64.75,-43.0833,object2,09/01/20 08:05:36 AM
-64.66666667,-43,object3,09/01/20 09:50:04 AM
-64.75,-42.9167,object1,09/01/20 01:17:56 AM
-64.83333333,-42.8333,object2,09/01/20 02:45:17 AM
-64.83333333,-42.75,object5,09/01/20 07:06:06 AM
-64.83333333,-42.6667,object1,09/01/20 07:26:50 AM
-64.75,-42.5833,object4,09/01/20 07:36:22 AM
-64.66666667,-42.5,object4,09/01/20 12:28:28 PM
-64.58333333,-42.4167,object5,09/01/20 09:34:49 AM
-64.58333333,-42.3333,object2,09/01/20 11:07:25 AM
-64.66666667,-42.25,object3,09/01/20 02:39:40 AM
-64.75,-42.1667,object4,09/01/20 01:06:12 AM
-64.83333333,-42.0833,object4,09/01/20 07:58:18 AM
-64.91666667,-42.0833,object5,09/01/20 06:38:48 AM
-65,-42,object5,09/01/20 08:14:58 AM
-65.08333333,-41.9167,object4,09/01/20 07:18:47 AM
-65.08333333,-41.8333,object5,09/01/20 08:01:11 AM
-65.08333333,-41.75,object4,09/01/20 11:53:49 AM
-65.08333333,-41.6667,object5,09/01/20 02:29:49 AM
-65.08333333,-41.5833,object1,09/01/20 05:00:10 AM
-65.08333333,-41.5,object5,09/01/20 01:19:59 AM
-65.08333333,-41.4167,object1,09/01/20 03:29:36 AM
-65.08333333,-41.3333,object1,09/01/20 11:15:42 AM
-65.08333333,-41.25,object5,09/01/20 12:16:58 PM
-65.08333333,-41.1667,object4,09/01/20 09:10:49 AM
-65.08333333,-41.0833,object5,09/01/20 08:26:52 AM
-65.08333333,-41,object3,09/01/20 07:27:29 AM
-65.08333333,-40.9167,object2,09/01/20 01:32:03 AM
-65,-40.8333,object3,09/01/20 11:12:30 AM
-64.91666667,-40.9167,object3,09/01/20 11:38:01 AM
-64.83333333,-40.9167,object4,09/01/20 08:41:44 AM
-64.75,-40.9167,object5,09/01/20 05:48:14 AM
-64.66666667,-40.9167,object5,09/01/20 01:27:10 AM
-64.58333333,-40.9167,object3,09/01/20 08:17:54 AM
-64.5,-41,object5,09/01/20 03:55:00 AM
-64.41666667,-41,object5,09/01/20 01:38:01 PM
-64.33333333,-41.0833,object3,09/01/20 10:15:29 AM
-64.25,-41.0833,object5,09/01/20 06:04:20 AM
-64.16666667,-41.0833,object5,09/01/20 05:44:56 AM
-64.08333333,-41.0833,object1,09/01/20 12:00:18 PM
-64,-41.1667,object4,09/01/20 08:25:20 AM
-63.91666667,-41.1667,object2,09/01/20 12:36:04 PM
-63.83333333,-41.1667,object5,09/01/20 12:51:50 PM
-63.75,-41.1667,object3,09/01/20 02:21:28 AM
-63.66666667,-41.1667,object4,09/01/20 01:10:18 PM
-63.58333333,-41.1667,object4,09/01/20 09:35:56 AM
-63.5,-41.1667,object3,09/01/20 08:42:49 AM
-63.41666667,-41.0833,object3,09/01/20 06:01:07 AM
-63.33333333,-41.0833,object2,09/01/20 10:31:25 AM
-63.25,-41.0833,object2,09/01/20 08:15:28 AM
-63.16666667,-41.0833,object5,09/01/20 07:39:50 AM
-63.08333333,-41.0833,object5,09/01/20 07:37:29 AM
-63,-41.0833,object5,09/01/20 09:43:18 AM
-62.91666667,-41,object2,09/01/20 11:26:43 AM
-62.83333333,-41,object2,09/01/20 09:09:35 AM
-62.75,-41,object5,09/01/20 11:52:46 AM
-62.66666667,-40.9167,object4,09/01/20 03:05:53 AM
-62.58333333,-40.9167,object4,09/01/20 02:11:13 AM
-62.5,-40.9167,object5,09/01/20 11:29:22 AM
-62.41666667,-40.8333,object5,09/01/20 10:35:15 AM
-62.33333333,-40.75,object3,09/01/20 09:08:44 AM
-62.25,-40.6667,object3,09/01/20 02:15:45 AM
-62.25,-40.5833,object1,09/01/20 04:44:34 AM
-62.25,-40.5,object1,09/01/20 07:41:37 AM
-62.25,-40.4167,object1,09/01/20 03:56:18 AM
-62.16666667,-40.3333,object4,09/01/20 02:18:42 AM
-62.16666667,-40.25,object2,09/01/20 11:26:36 AM
-62.16666667,-40.1667,object5,09/01/20 04:41:01 AM
-62.16666667,-40.0833,object4,09/01/20 02:03:31 AM
-62.16666667,-40,object3,09/01/20 10:49:03 AM
-62.08333333,-39.9167,object1,09/01/20 07:13:36 AM
-62.08333333,-39.8333,object5,09/01/20 07:44:06 AM
-62.08333333,-39.75,object2,09/01/20 02:36:47 AM
-62.08333333,-39.6667,object1,09/01/20 08:45:28 AM
-62.08333333,-39.5833,object1,09/01/20 11:07:09 AM
-62,-39.5,object4,09/01/20 11:22:56 AM
-62,-39.4167,object5,09/01/20 12:04:30 PM
-62,-39.3333,object2,09/01/20 10:12:45 AM
-61.91666667,-39.25,object2,09/01/20 01:04:39 PM
-61.83333333,-39.1667,object2,09/01/20 07:23:21 AM
-61.75,-39.0833,object3,09/01/20 12:21:38 AM
-61.66666667,-39,object1,09/01/20 02:37:12 AM
-61.58333333,-39,object3,09/01/20 09:07:58 AM
-61.5,-39,object2,09/01/20 06:19:09 AM
-61.41666667,-39,object3,09/01/20 02:00:39 AM
-61.33333333,-39,object3,09/01/20 11:20:30 AM
-61.25,-39,object4,09/01/20 08:51:27 AM
-61.16666667,-39,object1,09/01/20 07:20:15 AM
-61.08333333,-38.9167,object4,09/01/20 09:57:04 AM
-61,-38.9167,object2,09/01/20 10:28:16 AM
-60.91666667,-38.9167,object3,09/01/20 10:18:55 AM
-60.83333333,-38.9167,object3,09/01/20 06:37:40 AM
-60.75,-38.9167,object2,09/01/20 01:22:26 AM
-60.66666667,-38.9167,object2,09/01/20 11:56:22 AM
-60.58333333,-38.9167,object2,09/01/20 08:59:12 AM
-60.5,-38.9167,object2,09/01/20 11:58:09 AM
-60.41666667,-38.8333,object1,09/01/20 12:51:42 PM
-60.33333333,-38.8333,object2,09/01/20 10:46:28 AM
-60.25,-38.8333,object4,09/01/20 08:02:40 AM
-60.16666667,-38.8333,object3,09/01/20 06:34:38 AM
-60.08333333,-38.8333,object5,09/01/20 09:22:01 AM
-60,-38.8333,object4,09/01/20 11:00:49 AM
-59.91666667,-38.8333,object1,09/01/20 05:20:30 AM
-59.83333333,-38.75,object2,09/01/20 03:50:48 AM
-59.75,-38.75,object2,09/01/20 07:37:38 AM
-59.66666667,-38.75,object1,09/01/20 10:39:38 AM
-59.58333333,-38.75,object1,09/01/20 05:34:12 AM
-59.5,-38.75,object3,09/01/20 12:49:22 PM
-59.41666667,-38.6667,object3,09/01/20 03:14:16 AM
-59.33333333,-38.6667,object4,09/01/20 01:33:36 AM
-59.25,-38.6667,object5,09/01/20 09:32:17 AM
-59.16666667,-38.6667,object2,09/01/20 02:49:23 AM
-59.08333333,-38.6667,object1,09/01/20 11:20:00 AM
-59,-38.5833,object2,09/01/20 01:59:46 AM
-58.91666667,-38.5833,object4,09/01/20 03:39:51 AM
-58.83333333,-38.5833,object3,09/01/20 03:06:31 AM
-58.75,-38.5,object3,09/01/20 01:02:53 AM
-58.66666667,-38.5,object4,09/01/20 02:54:19 AM
-58.58333333,-38.5,object4,09/01/20 01:33:31 AM
-58.5,-38.5,object2,09/01/20 10:11:10 AM
-58.41666667,-38.4167,object2,09/01/20 01:39:12 PM
-58.33333333,-38.4167,object4,09/01/20 01:23:24 AM
-58.25,-38.4167,object5,09/01/20 07:47:56 AM
-58.16666667,-38.3333,object4,09/01/20 12:21:00 AM
-58.08333333,-38.3333,object1,09/01/20 11:27:56 AM
-58,-38.25,object3,09/01/20 01:50:56 AM
-57.91666667,-38.25,object1,09/01/20 02:13:27 AM
-57.83333333,-38.1667,object4,09/01/20 08:22:38 AM
-57.75,-38.1667,object4,09/01/20 08:13:40 AM
-57.66666667,-38.0833,object2,09/01/20 12:21:20 AM
-57.58333333,-38,object1,09/01/20 10:49:54 AM
-57.5,-37.9167,object3,09/01/20 09:09:35 AM
-57.41666667,-37.8333,object5,09/01/20 12:07:07 PM
-57.33333333,-37.75,object4,09/01/20 06:32:25 AM
-57.25,-37.6667,object1,09/01/20 05:00:24 AM
-57.16666667,-37.5833,object3,09/01/20 10:04:11 AM
-57.08333333,-37.5,object1,09/01/20 02:57:17 AM
-57,-37.4167,object2,09/01/20 03:23:09 AM
-57,-37.3333,object4,09/01/20 10:05:58 AM
-56.91666667,-37.25,object3,09/01/20 04:40:54 AM
-56.83333333,-37.1667,object1,09/01/20 08:40:27 AM
-56.75,-37.0833,object3,09/01/20 08:08:21 AM
-56.75,-37,object1,09/01/20 06:21:43 AM
-56.75,-36.9167,object2,09/01/20 06:07:35 AM
-56.75,-36.8333,object3,09/01/20 08:32:34 AM
-56.75,-36.75,object2,09/01/20 12:16:51 AM
-56.75,-36.6667,object2,09/01/20 04:19:53 AM
-56.75,-36.5833,object1,09/01/20 09:24:54 AM
-56.75,-36.5,object5,09/01/20 11:05:01 AM
-56.83333333,-36.4167,object4,09/01/20 04:33:45 AM
-56.91666667,-36.3333,object2,09/01/20 09:05:39 AM
-57,-36.25,object5,09/01/20 06:14:56 AM
-57.08333333,-36.1667,object1,09/01/20 04:20:03 AM
-57.16666667,-36.0833,object1,09/01/20 12:50:06 PM
-57.25,-36,object4,09/01/20 01:32:14 PM
-57.33333333,-35.9167,object3,09/01/20 08:04:50 AM
-57.33333333,-35.8333,object1,09/01/20 12:08:41 PM
-57.33333333,-35.75,object4,09/01/20 12:23:08 PM
-57.25,-35.6667,object3,09/01/20 08:32:50 AM
-57.25,-35.5833,object5,09/01/20 12:24:56 PM
-57.25,-35.5,object3,09/01/20 01:05:24 AM
-57.25,-35.4167,object3,09/01/20 12:22:05 PM
-57.25,-35.3333,object2,09/01/20 12:42:19 PM
-57.33333333,-35.25,object3,09/01/20 09:53:57 AM
-57.41666667,-35.1667,object3,09/01/20 10:41:31 AM
-57.5,-35.0833,object2,09/01/20 05:40:38 AM
-57.58333333,-35,object3,09/01/20 06:32:01 AM
-57.66666667,-34.9167,object5,09/01/20 08:02:51 AM
-57.75,-34.8333,object2,09/01/20 11:28:10 AM
-57.83333333,-34.75,object4,09/01/20 05:40:25 AM
-57.91666667,-34.75,object4,09/01/20 10:02:19 AM
-58,-34.75,object2,09/01/20 08:37:23 AM
-58.08333333,-34.6667,object5,09/01/20 02:13:06 AM
-58.16666667,-34.6667,object1,09/01/20 08:17:23 AM
-58.25,-34.5833,object4,09/01/20 06:12:55 AM
-58.33333333,-34.5,object4,09/01/20 12:49:54 PM
-58.41666667,-34.4167,object4,09/01/20 11:14:09 AM
-58.33333333,-34.3333,object1,09/01/20 08:13:01 AM
-58.25,-34.25,object3,09/01/20 05:32:42 AM
-58.16666667,-34.25,object1,09/01/20 05:13:15 AM
-58.08333333,-34.3333,object4,09/01/20 12:07:10 PM
-58,-34.4167,object3,09/01/20 07:11:31 AM
-57.91666667,-34.5,object3,09/01/20 10:28:35 AM
-57.83333333,-34.5,object5,09/01/20 07:43:36 AM
-57.75,-34.5,object5,09/01/20 04:11:28 AM
-57.66666667,-34.5,object4,09/01/20 06:18:15 AM
-57.58333333,-34.5,object5,09/01/20 03:13:21 AM
-57.5,-34.5,object2,09/01/20 08:59:41 AM
-57.41666667,-34.5,object1,09/01/20 08:56:57 AM
-57.33333333,-34.5,object2,09/01/20 11:58:45 AM
-57.25,-34.5,object3,09/01/20 01:04:11 PM
-57.16666667,-34.5833,object2,09/01/20 06:37:26 AM
-57.08333333,-34.5833,object3,09/01/20 05:23:39 AM
-57,-34.6667,object4,09/01/20 01:41:52 PM
-56.91666667,-34.75,object4,09/01/20 04:12:14 AM
-56.83333333,-34.75,object5,09/01/20 06:21:49 AM
-56.75,-34.75,object3,09/01/20 10:42:29 AM
-56.66666667,-34.8333,object4,09/01/20 02:03:13 AM
-56.58333333,-34.8333,object3,09/01/20 03:53:10 AM
-56.5,-34.8333,object1,09/01/20 04:00:44 AM
-56.41666667,-34.8333,object1,09/01/20 04:14:58 AM
-56.33333333,-34.8333,object5,09/01/20 09:19:35 AM
-56.25,-34.8333,object5,09/01/20 01:12:22 AM
-56.16666667,-34.8333,object1,09/01/20 03:38:02 AM
-56.08333333,-34.8333,object4,09/01/20 01:08:06 AM
-56,-34.8333,object3,09/01/20 01:31:23 PM
-55.91666667,-34.8333,object1,09/01/20 04:43:23 AM
-55.83333333,-34.8333,object1,09/01/20 05:26:48 AM
-55.75,-34.8333,object4,09/01/20 08:13:52 AM
-55.66666667,-34.8333,object1,09/01/20 02:32:25 AM
-55.58333333,-34.8333,object5,09/01/20 03:26:38 AM
-55.5,-34.8333,object4,09/01/20 10:38:06 AM
-55.41666667,-34.8333,object1,09/01/20 05:29:17 AM
-55.33333333,-34.9167,object3,09/01/20 05:55:05 AM
-55.25,-34.9167,object2,09/01/20 12:03:42 PM
-55.16666667,-34.9167,object5,09/01/20 05:14:18 AM
-55.08333333,-34.9167,object2,09/01/20 08:26:19 AM
-55,-34.9167,object2,09/01/20 12:33:20 PM
-54.91666667,-34.9167,object2,09/01/20 10:45:13 AM
-54.83333333,-34.8333,object4,09/01/20 04:56:10 AM
-54.75,-34.8333,object3,09/01/20 07:31:04 AM
-54.66666667,-34.75,object2,09/01/20 03:22:47 AM
-54.58333333,-34.75,object4,09/01/20 03:33:42 AM
-54.5,-34.6667,object4,09/01/20 05:43:43 AM
-54.41666667,-34.6667,object5,09/01/20 11:43:43 AM
-54.33333333,-34.6667,object5,09/01/20 10:39:01 AM
-54.25,-34.6667,object3,09/01/20 02:03:46 AM
-54.16666667,-34.5833,object5,09/01/20 11:23:27 AM
-54.08333333,-34.5,object3,09/01/20 08:04:38 AM
-54,-34.4167,object5,09/01/20 12:48:50 PM
-53.91666667,-34.4167,object1,09/01/20 07:40:25 AM
-53.83333333,-34.3333,object3,09/01/20 02:55:46 AM
-53.75,-34.25,object4,09/01/20 04:10:37 AM
-53.66666667,-34.1667,object3,09/01/20 12:03:12 PM
-53.58333333,-34.0833,object4,09/01/20 07:05:22 AM
-53.5,-34,object2,09/01/20 07:41:38 AM
-53.41666667,-33.9167,object1,09/01/20 08:48:32 AM
-53.41666667,-33.8333,object3,09/01/20 12:38:01 PM
-53.33333333,-33.75,object5,09/01/20 10:36:02 AM
-53.25,-33.6667,object3,09/01/20 07:29:05 AM
-53.16666667,-33.5833,object4,09/01/20 10:53:47 AM
-53.08333333,-33.5,object1,09/01/20 04:03:31 AM
-53,-33.4167,object1,09/01/20 03:02:44 AM
-52.91666667,-33.3333,object5,09/01/20 12:24:42 PM
-52.83333333,-33.25,object2,09/01/20 05:21:42 AM
-52.75,-33.1667,object1,09/01/20 05:05:44 AM
-52.66666667,-33.0833,object4,09/01/20 01:25:46 AM
-52.58333333,-33,object5,09/01/20 10:25:42 AM
-52.5,-32.9167,object2,09/01/20 03:35:49 AM
-52.41666667,-32.8333,object3,09/01/20 02:33:44 AM
-52.41666667,-32.75,object2,09/01/20 05:20:29 AM
-52.41666667,-32.6667,object1,09/01/20 05:35:36 AM
-52.33333333,-32.5833,object3,09/01/20 10:28:17 AM
-52.33333333,-32.5,object3,09/01/20 02:53:55 AM
-52.25,-32.4167,object1,09/01/20 01:32:46 AM
-52.25,-32.3333,object3,09/01/20 11:07:46 AM
-52.16666667,-32.25,object4,09/01/20 10:51:00 AM
-52.08333333,-32.1667,object1,09/01/20 03:18:25 AM
-52,-32.0833,object4,09/01/20 05:33:34 AM
-51.91666667,-32,object5,09/01/20 02:05:08 AM
-51.83333333,-31.9167,object1,09/01/20 03:40:57 AM
-51.75,-31.8333,object3,09/01/20 12:39:28 PM
-51.66666667,-31.75,object3,09/01/20 06:11:58 AM
-51.58333333,-31.6667,object4,09/01/20 07:46:29 AM
-51.5,-31.5833,object2,09/01/20 03:39:51 AM
-51.41666667,-31.5,object3,09/01/20 12:34:13 PM
-51.33333333,-31.4167,object1,09/01/20 12:23:54 AM
-51.25,-31.3333,object2,09/01/20 08:44:41 AM
-51.16666667,-31.25,object4,09/01/20 12:35:31 AM
-51.08333333,-31.1667,object4,09/01/20 02:57:48 AM
-51,-31.0833,object1,09/01/20 08:55:25 AM
-50.91666667,-31,object4,09/01/20 10:25:39 AM
-50.83333333,-30.9167,object1,09/01/20 01:37:44 AM
-50.75,-30.8333,object1,09/01/20 11:20:27 AM
-50.66666667,-30.75,object2,09/01/20 11:10:24 AM
-50.58333333,-30.6667,object1,09/01/20 04:26:12 AM
-50.5,-30.5833,object5,09/01/20 03:54:26 AM
-50.41666667,-30.5,object3,09/01/20 05:30:38 AM
-50.33333333,-30.4167,object1,09/01/20 11:34:38 AM
-50.25,-30.3333,object1,09/01/20 07:41:19 AM
-50.16666667,-30.25,object4,09/01/20 04:20:53 AM
